Transect,Site,Date Time,Turbidity (NTU) (895841),Salinity (PSU) (749968),pH (pH) (723485),Density (g/cmÂ³) (749968),Temperature (Â°C) (732880),Depth (ft) (729320),Actual Conductivity (ÂµS/cm) (749968),Resistivity (Î©â‹…cm) (749968),Total Dissolved Solids (ppt) (749968),Pressure (psi) (729320),Specific Conductivity (ÂµS/cm) (749968),ORP (mV) (723485),External Voltage (V) (732880),Barometric Pressure (mbar) (748439),Temperature (Â°C) (748439),BGA-PE Fluorescence (RFU) (1056293),Marked,,,
1A,1,2/27/2023,0,37.40026296,7.773842467,1.025751767,23.06991133,1.259341913,53060.13427,4106.480089,35.80984177,0.276031067,55089.83294,193.7141,17.04238133,1024.017133,27.458496,0,,,,
1A,1,3/13/2023,0.689097605,30.49356989,7.949663688,1.020085413,24.60928688,0.635228825,44734.44279,13425.29155,29.34293499,0.004756335063,45156.54875,122.7445063,17.0339325,1019.391938,27.44916375,0,,,,
1A,1,4/16/2023,0,31.20833917,8.136003804,1.043996215,25.18612856,0.6501185887,45783.01813,13739.98039,30.03073338,0.004867823556,46215.01825,125.6216375,17.43320788,1043.286485,28.09257215,0,,,,
1A,1,5/21/2023,0,28.16312306,7.342116961,0.9421261959,22.72854169,0.5866819671,41315.64857,12399.27432,27.10042451,0.004392835937,41705.49542,113.363855,15.73212775,941.4857192,25.35138324,0,,,,
1A,1,6/18/2023,0,27.95868695,7.288820534,0.9352873019,22.56355521,0.5824232427,41015.73827,12309.26799,26.90370253,0.004360948341,41402.75523,112.5409467,15.61792824,934.6514744,25.16735754,0, ,,,
1A,1,7/24/2023,0,3.481066211,8.118816143,0.9993233643,26.29889714,0.7740915143,6400.980541,6877.7798,0,0,0,0,0,0,0,0,,,,
1A,1,9/4/2023,0,30.00432357,8.185896133,1.019255467,26.12907667,1.070664173,50406.50197,227.537141,0,0,0,64.470852,21.2572874,-157.7963385,0,0,,,,
1A,1,10/2/2023,2.303842733,40.43341067,8.289789067,1.0269792,26.55861867,0.79937156,61143.62733,16.35258067,35.33414267,0.07549431333,54339.906,162.5643333,0,1020.205,0,0.0001468831339,,,,
1A,1,11/20/2023,8.226037152,41.2820791,8.407564483,1.029616245,25.73249541,1.283011379,61453.64362,21.75677962,41.58500793,0.2929789105,60309.77934,156.9188203,0,1017.854921,0,0.001210052633,,,,
1A,1,2/5/2024,0.5341022092,36.08786347,8.132645789,1.023407795,22.36689305,0.7873426163,51171.07353,20.97876484,33.31684832,0.05542744879,53881.69521,206.1539995,,1024.563695,,0.0042121324,,,,
1B,3,2/27/2023,0,34.67642613,8.366451667,1.023717353,22.99523667,1.099856293,54658.42227,80.1397807,33.29156,0.2260366987,56836.48513,145.2475933,17.03237733,1024.166867,27.50841133,0,,,,
1B,3,3/13/2023,2.082682873,40.36989067,8.393944333,1.027649467,24.21587533,2.068248753,58512.72867,17.08992333,38.611524,0.6264046193,59402.77333,-10.06546103,17.024204,1019.330467,29.01816267,0,,,,
1B,3,4/16/2023,0,41.58098739,8.645762663,1.058478951,24.94235159,2.130296216,60268.11053,17.60262103,39.76986972,0.6451967579,61184.85653,-10.36742486,17.53493012,1049.910381,29.88870755,0,,,,
1B,3,5/21/2023,0,37.43499962,7.78370458,0.9529393504,22.4553812,1.917887069,54258.85329,15.84748591,35.80446621,0.5808650035,55084.19171,-9.333702016,15.78654437,945.2251417,26.90854224,0,,,,
1B,3,6/18/2023,0,33.78254157,7.024264092,0.8599629639,20.26445456,1.730762663,48964.92549,14.3012784,32.31109605,0.5241911668,49709.7373,-8.423031378,14.24628281,853.0014151,24.28312959,0,,,,
1B,3,7/24/2023,0,3.977624923,7.919223308,0.9995653,26.75406077,0.7796702692,7375.508462,135.5830462,21.2885593,-157.706337,0,0,0,0,0,0,,,,
1B,3,9/4/2023,0,34.62204806,8.218167944,1.022745194,25.99763778,1.515166336,52757.21306,19.15692417,0,0,0,-15.61121947,21.25706007,-157.7962428,0,0,,,,
1B,3,10/2/2023,2.5216854,40.77012967,8.363812033,1.0272816,26.35082033,1.445503257,61372.63767,16.29590567,35.570962,0.401510546,54728.11533,120.3659833,0,1020.1782,0,0.0001892297385,,,, 
1B,3,11/20/2023,4.855784492,44.26920154,8.425033192,1.030147538,25.71023904,1.56896166,65213.00638,15.33203952,41.82722615,0.4397227869,64342.45992,141.0191969,0,1017.877054,0,0,,,,
1B,3,2/5/2024,0.7904183656,34.14765271,8.148159167,1.024572933,22.28184492,1.163838582,48457.23263,25.16708917,34.56532371,0.2553414337,51107.42625,202.5772738,,1024.430254,,0.6144343104,,,,
2A,1,2/27/2023,0,34.00437919,8.284519067,1.02329174,22.67513467,1.06020364,48038.93075,1357.654069,32.57220815,0.205505992,50090.20369,54.066822,17.04482267,1024.170733,27.53705333,0,,,,
2A,1,3/13/2023,5.072054154,31.42229962,8.329773786,1.020947093,24.05863143,1.684592514,45589.84358,2261.607667,32.71172779,0.4645897921,46286.5662,-19.66497343,17.01443643,1019.52,30.47882571,0,,,,
2A,1,4/16/2023,0,32.36496861,8.579666999,1.051575506,24.78039037,1.73513029,46957.53889,2329.455897,33.69307962,0.4785274859,47675.16319,-20.25492263,17.52486952,1050.1056,31.39319049,0,,,,
2A,1,5/21/2023,0,29.13789844,7.724199231,0.9467242392,22.30956892,1.562122638,42275.46195,2097.18879,30.33358518,0.4308141143,42921.53284,-18.23532986,15.7774869,945.400896,28.26301508,0, ,,,
2A,1,6/18/2023,0,26.29497196,6.970564561,0.8543542486,20.1328689,1.409709457,38150.72968,1892.570274,27.37399794,0.3887804428,38733.76472,-16.4561452,14.23810906,853.1600214,25.50544923,0,,,,
2A,1,7/24/2023,0,2.518169028,7.525465806,0.998441675,26.86093778,0.7642203056,4799.417444,279.5528639,21.28874212,-157.7064495,0,0,0,0,0,0,,,,
2A,1,9/4/2023,0,31.64514181,8.232004423,1.020463327,26.19557654,1.070464242,48256.05542,214.7275523,0,0,0,-17.02387038,21.25716961,-157.7965565,0,0,,,,
2A,1,10/2/2023,3.79263632,40.7682132,8.41211724,1.02719252,26.6313212,0.734632312,61677.2308,16.21416,35.5819992,0.051742986,54740.0336,101.121544,0,1020.11856,0,0.00257476696,,,,
2A,1,11/20/2023,5.07924034,44.26547472,8.447616,1.030124916,25.75881576,1.75137222,65263.0044,15.32189616,41.81808084,0.5264089373,64335.32964,133.1199496,0,1017.911677,0,0.000006654718988,,,,
2A,1,2/5/2024,0.1317006168,35.9369669,8.189012717,1.024810707,22.43200457,0.943054228,50739.3447,20.74230393,34.6392411,0.1331155013,53664.52643,233.4971887,,1024.364647,,0.1282612304,,,,
2B,3,2/27/2023,0,34.85130827,8.274830467,1.023926047,22.69110667,1.476455847,49237.41119,1571.789081,33.33693014,0.4070635778,51288.42426,89.46252733,17.03441133,1024.160733,27.59753,0,,,,
2B,3,3/13/2023,2.185511382,39.94529333,8.4558906,1.0273012,24.317774,1.049899693,58083.41133,17.21599,38.25559333,0.2083406533,58846.11733,16.82540133,17.021046,1019.4568,30.13139267,0,,,,
2B,3,4/16/2023,,41.14365213,8.709567318,1.058120236,25.04730722,1.081396684,59825.91367,17.7324697,39.40326113,0.2145908729,60611.50085,17.33016337,17.53167738,1050.040504,31.03533445,0,,,,
2B,3,5/21/2023,,37.04127051,7.841147353,0.9526164028,22.54987183,0.9735719856,53860.74733,15.96438753,35.4744117,0.1931942878,54568.0046,15.60219466,15.78361596,945.3422906,27.94084042,0,,,,
2B,3,6/18/2023,,33.42722783,7.076102288,0.8596715256,20.34972594,0.8785825141,48605.66193,14.40677416,32.0132443,0.1743447076,49243.91353,14.07991973,14.24364011,853.107134,25.2147085,0,,,,
2B,3,7/24/2023,,0.9278635731,8.062765214,0.9974665,26.05215929,0.6449253714,1792.550638,39348.66764,-9.992948179,21.28921479,-157.7067792,0,0,0,0,0,,,,
2B,3,9/4/2023,,28.93065935,8.217834636,1.018453018,26.09846545,1.801912673,43960.6546,669.6562364,,,,-25.59947318,21.25695966,-157.7963898,0,,,,,
2B,3,10/2/2023,2.210756174,40.82625522,8.340493565,1.027354304,26.27496696,1.736078213,61362.84043,16.29794739,35.61508826,0.515768925,54788.35609,93.90263,0,1020.132565,0,0.0006201813043,,,,
2B,3,11/20/2023,4.773414967,43.6985723,8.455139093,1.030059126,25.75969252,1.10465311,64518.94015,15.555288,41.74677441,0.1996517985,63593.25248,129.4218833,0,1017.768904,0,0,,,,
2B,3,2/5/2024,2.36861853,31.38273632,8.201446531,1.021385525,22.39622972,1.39679284,42183.73748,402.4175294,30.09612043,0.3645195021,46844.51952,219.2982931,,1024.310744,,0.1455060047,,,,
3A,1,2/27/2023,,30.45475068,8.1484786,1.020664293,22.44118533,1.59720394,42875.6373,2569.875138,29.05000208,0.5102643138,44696.6187,58.62327333,17.02149733,1024.055867,27.668606,0,,,, 
3A,1,3/13/2023,1.158568532,8.366334533,8.696948667,54041.9363,54867.011,37.27342537,1121.258193,1.025332787,35.65952615,24.11477667,0.7605925753,2.37100572,17.02030933,1019.376333,29.47732667,0,,,,
3A,1,4/16/2023,,8.617324569,8.957857127,55663.19439,56513.02133,38.39162813,1154.895939,1.05609277,36.72931194,24.83821997,0.7834103526,2.442135892,17.53091861,1049.957623,30.36164647,0,,,,
3A,1,5/21/2023,,7.758102013,8.064680499,50113.08754,50878.1793,34.56364734,1039.742723,0.9507910931,33.0670786,22.3616324,0.7052974951,2.198633604,15.78293284,945.2676739,27.33432502,0,,,,
3A,1,6/18/2023,,7.001159516,7.277825752,45223.65381,45914.0971,31.1913414,938.2971047,0.8580243077,29.84078988,20.17985265,0.6364830291,1.984117321,14.24302365,853.0397975,24.66736959,0,,,,
3A,1,7/24/2023,,23.10401,7.909446182,1.014015909,26.3279,0.6080313182,25183.07766,27.06593545,-40.69559,21.28936015,-157.7068186,,,,,0,,,,
3A,1,9/4/2023,,28.56535212,8.239612969,1.018127744,26.24362719,1.284216969,43350.85636,152.2254056,,,,-25.89021663,21.25702953,-157.7968012,0,0,,,,
3A,1,10/2/2023,4.064720923,40.87507077,8.496012308,1.027147923,27.01896385,0.9130837462,62242.41769,16.06554154,35.67616385,0.1312252685,54884.55231,89.28113923,,1019.999538,0,0,,,,
3A,1,11/20/2023,4.576449776,44.04355633,8.449098,1.02997251,25.69526124,1.501467602,64876.20738,40.35791233,41.60511362,0.3936260781,64012.9249,127.2250813,,1017.785167,0,0.002709077925,,,,
3A,1,2/5/2024,1.196450605,36.65246562,8.239359833,1.025376324,22.41680505,0.8919042395,52605.50481,19.2698691,35.52539805,0.1385019364,55337.21024,232.1311405,,1024.448005,,0.003848782043,,,,
3B,3,2/27/2023,0,33.48290407,8.157921267,1.023688707,22.545566,2.212215433,47097.17079,1375.498407,32.97673781,0.6912892335,49064.84955,87.49656,17.03266267,1020.965,27.44971733,0,, ,,
3B,3,3/13/2023,2.133164327,38.14464809,8.3377896,1.025997227,55237.38878,24.16705133,2.629510857,722.6887187,36.44589525,0.8836713293,56051.56634,22.90402333,17.01910667,1019.418467,29.23960667,0,,,,
3B,3,4/16/2023,,39.28898753,8.587923288,1.056777143,56894.51045,24.89206287,2.708396182,744.3693802,37.53927211,0.9101814692,57733.11333,23.59114403,17.52967987,1050.001021,30.11679487,0,,,,
3B,3,5/21/2023,,35.37153217,7.731632296,0.9514072283,51221.63062,22.4101067,2.438345417,670.1492488,33.79627867,0.8194284237,51976.61747,21.23890084,15.78181761,945.3067441,27.11388726,0,,,,
3B,3,6/18/2023,,31.92040252,6.977272396,0.8585803278,46224.03856,20.22359741,2.200440932,604.7641269,30.49884335,0.7394784312,46905.36285,19.16666376,14.24201723,853.0750557,24.46843951,0,,,,
3B,3,7/24/2023,,0.8778191753,7.902718333,0.9975494533,25.851722,0.5540707667,1703.889613,2995.367293,-23.12352,21.28975614,-157.7069959,,,,,,,,,
3B,3,9/4/2023,,,, ,,, ,,,,,,,,,,,,,
3B,3,10/2/2023,2.16169175,40.807678,8.3371559,1.02733095,26.299654,1.34024276,61352.318,16.29845,35.600387,0.3289103455,54764.6435,87.134375,0,1020.0067,0,0,,,,
3B,3,11/20/2023,0,,,,,,,,,,,,,,0,0,,,,
3B,3,2/5/2024,0.6538268831,37.765749,8.2406134,1.02619091,22.46168855,1.375576333,53373.2479,18.73523325,36.46143585,0.3364065242,56094.95045,220.090948,,1024.65422,,0.0004903241094,,,,
4A,1,2/27/2023,0,33.27681431,8.206910933,1.022944853,22.55985333,1.6601702,43241.12382,2073.596688,32.00662463,0.4604254753,48800.67157,73.211474,17.03419067,1024.1808,27.21838733,0,,,,
4A,1,3/13/2023,1.079000991,37.89496929,8.358804,1.025801187,24.14789,1.18699908,54860.55561,784.2524987,36.19339465,0.2383349593,55691.17098,-14.15943247,17.01703667,1019.4658,28.920564,0,,,,
4A,1,4/16/2023,0,39.03181836,8.60956812,1.056575222,24.8723267,1.222609052,56506.37228,807.7800736,37.27919649,0.2454850081,57361.90611,-14.58421544,17.52754777,1050.049774,29.78818092,0,,,,
4A,1,5/21/2023,0,35.14000502,7.751118949,0.9512254404,22.3923384,1.100704247,50872.19322,727.237342,33.56213486,0.2210080078,51642.42285,-13.13004173,15.7798981,945.3506363,26.818039,0,,,,
4A,1,6/18/2023,0,31.71146501,6.994857776,0.8584162766,20.20756272,0.9933107349,45908.69507,656.282249,30.28754448,0.1994446985,46603.77493,-11.84896982,14.240285,853.1146655,24.20145657,0,,,,
4A,1,7/24/2023,0,1.045704,7.72963525,0.997433025,26.4941575,0.5387521,2077.645125,479.5362125,-69.01244125,21.2900176,-157.7072183,0,0,0,0,0,,,,
4A,1,9/4/2023,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4A,1,10/2/2023,2.438633188,35.23515258,8.440095263,1.022999316,26.76441684,1.086137684,53586.70947,60.93036474,35.00897211,0.1855008526,47601.31053,81.01914053,0,1019.968158,0,0.008778979611,,,,
4A,1,11/20/2023,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4A,1,2/5/2024,0.8538695179,37.347422,8.247018325,1.025892035,22.39576765,1.045326516,52793.51135,18.9448031,36.10701995,0.1640517269,55556.5875,214.94927,,1024.57147,,0.004102155755,,,,
4B,3,2/27/2023,0,33.81455819,8.241063438,1.023143706,22.72029875,1.8576786,47616.73679,1690.244553,32.2092709,0.5420349563,49554.10479,76.16777563,17.03157125,1024.318188,27.17422625,0,,,,
4B,3,3/13/2023,2.877527667,40.21518167,8.48132975,1.027454,24.4736525,1.632553333,58593.82333,17.066665,38.47284917,0.4260113417,59188.18833,-1.938734542,17.0236,1019.463167,29.368245,0,,,,
4B,3,4/16/2023,0,41.42163712,8.735769643,1.05827762,25.20786208,1.681529933,60351.63803,17.57866495,39.62703464,0.4387916819,60963.83398,-1.996896578,17.534308,1050.047062,30.24929235,0,,,,
4B,3,5/21/2023,0,37.29153796,7.864737077,0.9527580942,22.69441796,1.513866706,54334.05238,15.82591845,35.67587303,0.3950403171,54885.20704,-1.79778854,15.78598428,945.3481945,27.23317359,0,,,,
4B,3,6/18/2023,0,33.65307718,7.09739041,0.8597993925,20.48016899,1.366161759,49032.78755,14.28181524,32.19504945,0.3564970235,49530.16716,-1.622381908,14.24577737,853.1124618,24.57608731,0,,,,
4B,3,7/24/2023,0,0.5993221256,7.736689214,0.9971153571,26.44183071,0.5390261071,1209.01972,60290.60386,-35.05843857,21.29024294,-157.707136,0,0,0,0,0,,,,
4B,3,9/4/2023,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4B,3,10/2/2023,2.25159605,40.811727,8.33850625,1.02734025,26.277203,1.030556275,61341.74,16.302181,35.6034185,0.1848548584,54773.7395,81.366877,0,1019.93185,0,0.001197421045,,,,
4B,3,11/20/2023,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
4B,3,2/5/2024,0.0648799707,37.4497408,8.2466962,1.02594436,22.4893016,1.81509392,52991.425,18.8669188,36.190244,0.520211278,55677.2994,212.71507,,1024.63702,,0.000302481912,,,,
5A,1,2/27/2023,0,33.45613789,8.12023025,1.022904544,22.49436063,1.461307556,47139.27317,2594.863142,31.93790899,0.3813523238,49135.48268,78.42465938,17.02659625,1024.083625,27.1835175,0,,,,
5A,1,3/13/2023,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,#ERROR!,0,,,,
5A,1,4/16/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,5/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,6/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,7/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,9/4/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,10/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,11/20/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5A,1,2/5/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,2/27/2023,0,35.13490778,8.170478067,1.024102493,22.71939133,2.399946313,42174.30602,2004.775881,33.57242141,0.7910815573,43849.41815,-13.92769353,17.02897,1024.134733,27.32113867,0,,,,
5B,3,3/13/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,4/16/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,5/21/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,6/18/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,7/24/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,9/4/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,10/2/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,11/20/2023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
5B,3,2/5/2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,, ,,,,,,,,,,,,,,,,