Transect,Site,Date Time,Gelidium corneum ,Halimeda discoidea,Turbinaria ornata,Acanthophora spicifera,Bryopsis Pennata,,,,
1A,1,2/27/2023,0,13,0,62,63,,,,
1A,1,3/13/2023,0,21,0,66,65,,,,
1A,1,4/16/2023,0,24,0,68,79,,,,
1A,1,5/21/2023,0,26,0,52,74,,,,
1A,1,6/18/2023,0,23,0,43,73,,,,
1A,1,7/24/2023,0,17,0,36,67,,,,
1A,1,9/4/2023,0,21,0,52,63,,,,
1A,1,10/2/2023,0,22,0,59,72,,,,
1A,1,11/20/2023,0,27,0,57,57,,,,
1A,1,2/5/2024,0,29,0,61,63,,,,
1B,3,2/27/2023,0,27,11,63,77,,,,
1B,3,3/13/2023,0,22,14,68,85,,,,
1B,3,4/16/2023,0,29,13,55,71,,,,
1B,3,5/21/2023,0,27,13,52,68,,,,
1B,3,6/18/2023,0,22,7,47,77,,,,
1B,3,7/24/2023,0,21,2,38,83,,,,
1B,3,9/4/2023,0,21,0,54,57,,,,
1B,3,10/2/2023,0,24,4,58,65,,,,
1B,3,11/20/2023,0,23,1,62,66,,,,
1B,3,2/5/2024,0,21,6,68,77,,,,
2A,1,2/27/2023,0,37,0,59,62,,,,
2A,1,3/13/2023,0,42,0,54,57,,,,
2A,1,4/16/2023,0,39,0,50,53,, ,,
2A,1,5/21/2023,0,37,0,68,71,,,,
2A,1,6/18/2023,0,32,0,71,74,,,,
2A,1,7/24/2023,0,45,0,84,87,,,,
2A,1,9/4/2023,0,41,0,69,72,,,,
2A,1,10/2/2023,0,33,0,72,75,,,,
2A,1,11/20/2023,0,38,0,61,64,,,,
2A,1,2/5/2024,0,41,0,51,54,,,,
2B,3,2/27/2023,0,17,0,43,46,,,,
2B,3,3/13/2023,0,23,0,40,43,,,,
2B,3,4/16/2023,0,19,0,37,40,,,,
2B,3,5/21/2023,0,16,0,37,40,,,,
2B,3,6/18/2023,0,11,0,45,48,,,,
2B,3,7/24/2023,0,14,0,49,52,,,,
2B,3,9/4/2023,0,21,0,42,45,,,,
2B,3,10/2/2023,0,26,0,57,60,,,,
2B,3,11/20/2023,0,23,0,44,47,,,,
2B,3,2/5/2024,0,23,0,41,44,,,,
3A,1,3/13/2023,0,44,0,68,0,,,,
3A,1,4/16/2023,0,46,0,63,0,,,,
3A,1,5/21/2023,0,35,0,59,0,,,,
3A,1,6/18/2023,0,48,0,77,0,,,,
3A,1,7/24/2023,0,34,0,53,0,,,,
3A,1,9/4/2023,0,46,0,43,0,,,,
3A,1,10/2/2023,0,46,0,78,0,,,,
3A,1,11/20/2023,0,53,0,81,0,,,,
3A,1,2/5/2024,0,56,0,70,0,,,,
3B,3,2/27/2023,0,55,0,60,0,,,,
3B,3,3/13/2023,0,51,0,52,0,,,,
3B,3,4/16/2023,0,55,0,49,0,,,,
3B,3,5/21/2023,0,47,0,46,0,,,,
3B,3,6/18/2023,0,53,0,46,0,,,,
3B,3,7/24/2023,0,29,0,54,0,,,,
3B,3,9/4/2023,0,48,0,58,0,,,,
3B,3,10/2/2023,0,33,0,51,0,,,,
3B,3,11/20/2023,0,62,0,66,0,,,,
3B,3,2/5/2024,0,55,0,53,0,,,,
4A,1,2/27/2023,0,37,12,52,0,,,,
4A,1,3/13/2023,0,55,14,55,0,,,,
4A,1,4/16/2023,0,57,16,63,0,,,,
4A,1,5/21/2023,0,31,13,62,0,,,,
4A,1,6/18/2023,0,57,5,63,0,,,,
4A,1,7/24/2023,0,40,7,56,0,,,,
4A,1,9/4/2023,0,45,2,56,0,,,,
4A,1,10/2/2023,0,32,4,57,0,,,,
4A,1,11/20/2023,0,42,8,59,0,,,,
4A,1,2/5/2024,0,53,11,61,0,,,,
4B,3,2/27/2023,0,48,0,65,0,,,,
4B,3,3/13/2023,0,47,0,71,0,,,,
4B,3,4/16/2023,0,46,0,57,0,,,,
4B,3,5/21/2023,0,55,0,54,0,,,,
4B,3,6/18/2023,0,53,0,49,0,,,,
4B,3,7/24/2023,0,46,0,39,0,,,,
4B,3,9/4/2023,0,51,0,56,0,,,,
4B,3,10/2/2023,0,49,0,60,0,,,,
4B,3,11/20/2023,0,58,0,64,0,,,,
4B,3,2/5/2024,0,40,0,71,0,,,,
5A,1,2/27/2023,2,32,8,61,0,,,,
5A,1,3/13/2023,2,22,12,56,0,,,,
5A,1,4/16/2023,2,40,7,52,0,,,,
5A,1,5/21/2023,2,23,5,71,0,,,,
5A,1,6/18/2023,2,26,3,74,0,,,, 
5A,1,7/24/2023,2,28,9,87,0,,,,
5A,1,9/4/2023,2,39,7,72,0,,,,
5A,1,10/2/2023,2,30,10,75,0,,,,
5A,1,11/20/2023,2,25,12,63,0,,,,
5A,1,2/5/2024,2,30,17,53,0,,,,
5B,3,2/27/2023,0,26,0,45,0,,,,
5B,3,3/13/2023,0,36,0,41,0,,,,
5B,3,4/16/2023,0,39,0,38,0,,,,
5B,3,5/21/2023,0,17,0,38,0,,,,
5B,3,6/18/2023,0,30,0,47,0,,,,
5B,3,7/24/2023,0,18,0,51,0,,,,
5B,3,9/4/2023,0,34,0,44,0,,,,
5B,3,10/2/2023,0,34,0,59,0,,,,
5B,3,11/20/2023,0,28,0,46,0,,,,
5B,3,2/5/2024,0,24,0,43,0,,,,